pregunta,emocion,intencion,nivel_emocional,recomendacion
en las mañanas tengo demasiados trabajos acumulados en serio necesito apoyo,ESTRES,cansancio_escolar,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
me da temor hablar con mi profesor un poco necesito orientacion,MIEDO,buscar_seguridad,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
ultimamente tengo miedo de contar lo que pasa y no se que hacer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
a veces estoy contento porque mejore mis notas mucho puedes ayudarme,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
en las mañanas ultimamente no tengo ganas de nada que puedo hacer,TRISTEZA,buscar_apoyo,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
no quiero hacer mis tareas mucho por eso busco ayuda,DESMOTIVACION,falta_interes,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
desde ayer quiero saber como revisar mis notas mucho me gustaria hablar con alguien,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
a veces necesito ayuda urgente cuando tengo que exponer,RIESGO_EMOCIONAL,desesperanza_grave,ALTO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
necesito decir que siento miedo cuando camino solo por eso busco ayuda,MIEDO,buscar_seguridad,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
necesito decir que ya no disfruto venir a clases bastante y no se que hacer,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
la verdad estoy contento porque mejore mis notas antes de dormir necesito orientacion,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en las mañanas siento que todo seria mejor si no estuviera,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
ya no tengo motivacion para estudiar necesito orientacion,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
hoy ya no disfruto venir a clases,TRISTEZA,buscar_apoyo,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
ultimamente no soporto que me traten mal,ENOJO,conflicto_docente,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
cuando estoy en clases no aguanto mas esta situacion porque me afecta bastante,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
cuando llego a casa no se como organizar mis tareas durante clases que puedo hacer,ESTRES,sobrecarga_academica,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en el colegio puedes ayudarme con una duda cada dia mas,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa me dio rabia lo que me dijeron,ENOJO,frustracion,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
por favor me siento tranquilo y animado que puedo hacer,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
desde hace dias quiero lastimarme,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
necesito decir que necesito hacer una consulta,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
esta semana estoy enojado con mis compañeros bastante por eso busco ayuda,ENOJO,conflicto_docente,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
esta semana siento mucha frustracion demasiado,ENOJO,expresar_enojo,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
hoy ya no quiero seguir viviendo y me cuesta concentrarme,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
cuando estoy en clases me pongo nervioso antes de los examenes me preocupa mucho,ANSIEDAD,buscar_calma,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
a veces me preocupa no entregar todo en serio necesito apoyo,ESTRES,sobrecarga_academica,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
ultimamente quiero desaparecer con mi familia,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
necesito decir que hoy me siento muy feliz que puedo hacer,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
en el colegio hoy me siento muy feliz demasiado,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en la tarde logre entregar mi tarea a tiempo con mis compañeros porque me afecta bastante,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
esta semana me angustia no terminar mis trabajos,ANSIEDAD,preocupacion_academica,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
necesito decir que tengo demasiados trabajos acumulados,ESTRES,expresar_estres,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
esta semana no se como organizar mis tareas y me cuesta concentrarme,ESTRES,expresar_estres,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
cuando estoy en clases siento mucha frustracion me gustaria hablar con alguien,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
la verdad siento nervios cada vez que entro a clases,ANSIEDAD,buscar_calma,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde ayer siento que nadie me entiende mucho y me cuesta concentrarme,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
ultimamente perdi las ganas de esforzarme y quiero mejorar,DESMOTIVACION,expresar_desmotivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
esta semana estoy llorando y no se que hacer cada dia mas porque me afecta bastante,TRISTEZA,expresar_tristeza,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
desde hace dias ya no tengo motivacion para estudiar necesito orientacion,DESMOTIVACION,expresar_desmotivacion,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando llego a casa me preocupa que mis compañeros se rian antes de dormir,MIEDO,temor_bullying,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
desde ayer he pensado en hacerme daño en silencio,RIESGO_EMOCIONAL,desesperanza_grave,ALTO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
hoy siento inseguridad en el curso que puedo hacer,MIEDO,temor_familiar,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
hoy siento que nada me sale bien pero no se como explicarlo,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
por favor siento que voy a perder el control,ENOJO,conflicto_companeros,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
la verdad siento que voy a perder el control en silencio y quiero mejorar,ENOJO,expresar_enojo,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde hace dias ya no tengo motivacion para estudiar necesito orientacion,DESMOTIVACION,buscar_motivacion,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
hoy quiero desaparecer y quiero estar mejor,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
en las mañanas logre entregar mi tarea a tiempo,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
esta semana estoy muy preocupado por mis notas y quiero estar mejor,ANSIEDAD,preocupacion_academica,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
esta semana hola durante clases,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
en las mañanas me siento ansioso pero no se como explicarlo,ANSIEDAD,preocupacion_academica,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
a veces estoy feliz porque mis amigos me apoyaron,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde ayer donde puedo ver mi horario,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
por favor estoy estresado por tantas tareas,ESTRES,organizacion_estudio,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando estoy en clases siento mucha pena por lo que paso y quiero estar mejor,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en el colegio me preocupa que mis compañeros se rian y no quiero sentirme asi,MIEDO,buscar_seguridad,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
en el colegio tengo miedo de contar lo que pasa,MIEDO,expresar_miedo,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
necesito decir que necesito ayuda urgente sin decirle a nadie,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
por favor me molesta que se burlen de mi y me cuesta concentrarme,ENOJO,expresar_enojo,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en las mañanas estoy enojado con mis compañeros con mis compañeros por eso busco ayuda,ENOJO,frustracion,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
ultimamente me enoje con un profesor y no quiero sentirme asi,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando estoy en clases siento que todo seria mejor si no estuviera en silencio,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
a veces tengo miedo de ir al colegio,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
por favor siento que nada me sale bien cuando tengo tareas,DESMOTIVACION,falta_interes,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en las mañanas me dio rabia lo que me dijeron con mi familia,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en el colegio estoy contento porque mejore mis notas un poco,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
ultimamente me da miedo equivocarme al exponer y me cuesta concentrarme,MIEDO,temor_bullying,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
esta semana me dio rabia lo que me dijeron cuando tengo que exponer,ENOJO,conflicto_companeros,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando estoy en clases tengo pensamientos muy oscuros y quiero mejorar,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
por favor me cuesta respirar cuando pienso en mis tareas pero no se como explicarlo,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
ultimamente buenas tardes en silencio,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
a veces tengo demasiados trabajos acumulados pero no se como explicarlo,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
ultimamente estoy feliz porque mis amigos me apoyaron me gustaria hablar con alguien,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en el colegio he pensado en hacerme daño durante clases porque me afecta bastante,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando llego a casa me cuesta respirar cuando pienso en mis tareas y me cuesta concentrarme,ANSIEDAD,expresar_ansiedad,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando estoy en clases perdi las ganas de esforzarme puedes ayudarme,DESMOTIVACION,expresar_desmotivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
hoy logre entregar mi tarea a tiempo en serio necesito apoyo,FELICIDAD,agradecimiento,LEVE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
la verdad me preocupa no entregar todo y me cuesta concentrarme,ESTRES,expresar_estres,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
la verdad estoy estresado por tantas tareas bastante me preocupa mucho,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
cuando llego a casa siento nervios cada vez que entro a clases,ANSIEDAD,buscar_calma,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor tengo una pregunta sobre el colegio cuando tengo tareas,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente siento que nada me sale bien cuando tengo que exponer y quiero mejorar,DESMOTIVACION,falta_interes,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde hace dias me angustia no terminar mis trabajos con mi familia necesito orientacion,ANSIEDAD,preocupacion_academica,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
a veces estoy llorando y no se que hacer durante clases necesito orientacion,TRISTEZA,expresar_tristeza,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando estoy en clases siento que no puedo controlar mi preocupacion,ANSIEDAD,expresar_ansiedad,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor buenos dias bastante,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
cuando estoy en clases siento nervios cada vez que entro a clases puedes ayudarme,ANSIEDAD,buscar_calma,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor me preocupa que mis compañeros se rian,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
ultimamente ya no disfruto venir a clases pero no se como explicarlo,TRISTEZA,problema_personal,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
hoy estoy feliz porque mis amigos me apoyaron antes de dormir,FELICIDAD,expresar_bienestar,LEVE,Responder con reconocimiento emocional y continuar acompañando.
esta semana tengo miedo de contar lo que pasa demasiado pero no se como explicarlo,MIEDO,temor_bullying,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
a veces buenas tardes me preocupa mucho,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa tengo miedo de reprobar demasiado,ANSIEDAD,preocupacion_academica,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
necesito decir que perdi las ganas de esforzarme puedes ayudarme,DESMOTIVACION,buscar_motivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
cuando estoy en clases estoy estresado por tantas tareas antes de dormir y quiero estar mejor,ESTRES,expresar_estres,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
en el colegio me siento ansioso porque me afecta bastante,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
desde ayer siento que no puedo controlar mi preocupacion,ANSIEDAD,miedo_examen,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
ultimamente quiero mejorar pero no tengo fuerzas,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en el colegio ya no puedo concentrarme por el estres puedes ayudarme,ESTRES,cansancio_escolar,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
hoy me siento desanimado con mis clases,DESMOTIVACION,falta_interes,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
no aguanto mas esta situacion,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
en la tarde hoy no quiero hablar con nadie con mis compañeros,TRISTEZA,expresar_tristeza,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
cuando estoy en clases me preocupa que mis compañeros se rian pero no se como explicarlo,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
desde ayer tengo miedo de ir al colegio pero no se como explicarlo,MIEDO,temor_bullying,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
necesito decir que me siento tranquilo y animado por eso busco ayuda,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
hoy quiero desaparecer durante clases,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
ultimamente me siento amenazado por un compañero con mis compañeros y quiero mejorar,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
estoy muy preocupado por mis notas por eso busco ayuda,ANSIEDAD,miedo_examen,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
ultimamente estoy enojado con mis compañeros mucho,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
desde ayer gracias por la ayuda durante clases por eso busco ayuda,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
cuando estoy en clases he pensado en hacerme daño,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando estoy en clases tengo miedo de reprobar durante clases,ANSIEDAD,buscar_calma,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
esta semana me siento motivado para estudiar en silencio y no quiero sentirme asi,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en las mañanas buenas tardes me preocupa mucho,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente siento mucha presion academica porque me afecta bastante,ESTRES,sobrecarga_academica,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
a veces buenas tardes y quiero mejorar,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
en el colegio estoy contento porque mejore mis notas cuando tengo que exponer y quiero estar mejor,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
necesito decir que me alegra haber hablado con mi profesor y no se que hacer,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
necesito decir que no soporto que me traten mal un poco,ENOJO,frustracion,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
esta semana me molesta que se burlen de mi cuando tengo tareas por eso busco ayuda,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en la tarde no puedo dormir por pensar en el examen demasiado me gustaria hablar con alguien,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en la tarde me siento ansioso con mis compañeros por eso busco ayuda,ANSIEDAD,buscar_calma,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
esta semana no soporto que me traten mal y quiero estar mejor,ENOJO,conflicto_docente,ALTO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en la tarde ultimamente no tengo ganas de nada en silencio puedes ayudarme,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
esta semana tengo demasiados trabajos acumulados,ESTRES,expresar_estres,ALTO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
desde hace dias me siento motivado para estudiar,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
por favor hoy no quiero hablar con nadie,TRISTEZA,problema_personal,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en el colegio me tiembla el cuerpo cuando debo exponer cuando tengo tareas,ANSIEDAD,buscar_calma,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
hoy siento que voy a perder el control que puedo hacer,ENOJO,frustracion,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en la tarde tengo miedo de reprobar,ANSIEDAD,buscar_calma,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
desde ayer me siento triste y no quiero sentirme asi,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando llego a casa tengo muchas obligaciones y estoy cansado cada dia mas y no se que hacer,ESTRES,cansancio_escolar,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
desde hace dias me enoje con un profesor me preocupa mucho,ENOJO,conflicto_docente,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
a veces tengo demasiados trabajos acumulados cuando tengo tareas,ESTRES,sobrecarga_academica,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
hoy tengo rabia por lo que paso en clase antes de dormir,ENOJO,frustracion,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
cuando llego a casa me alegra haber hablado con mi profesor bastante y quiero mejorar,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde hace dias me cuesta respirar cuando pienso en mis tareas y quiero mejorar,ANSIEDAD,miedo_examen,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
cuando llego a casa hasta luego y no se que hacer,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
desde ayer cada vez me cuesta mas levantarme para ir al colegio antes de dormir me preocupa mucho,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en la tarde me da temor hablar con mi profesor pero no se como explicarlo,MIEDO,temor_bullying,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
la verdad me dio rabia lo que me dijeron pero no se como explicarlo,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
la verdad me siento solo en el colegio cada dia mas y quiero mejorar,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
a veces no quiero salir al recreo porque tengo miedo cada dia mas y quiero estar mejor,MIEDO,expresar_miedo,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
en la tarde me da miedo equivocarme al exponer,MIEDO,temor_familiar,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
por favor me siento solo en el colegio me preocupa mucho,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando llego a casa me alegra haber hablado con mi profesor,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
esta semana me angustia no terminar mis trabajos y no se que hacer,ANSIEDAD,miedo_examen,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
la verdad me cuesta respirar cuando pienso en mis tareas y me cuesta concentrarme,ANSIEDAD,preocupacion_academica,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
a veces estoy contento porque mejore mis notas sin decirle a nadie pero no se como explicarlo,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
ultimamente quiero lastimarme,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
en las mañanas no quiero hacer mis tareas y me cuesta concentrarme,DESMOTIVACION,buscar_motivacion,LEVE,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en la tarde siento inseguridad en el curso,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
esta semana me da miedo equivocarme al exponer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
hoy necesito ayuda urgente bastante,RIESGO_EMOCIONAL,pedido_ayuda_urgente,ALTO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
hoy no se como organizar mis tareas por eso busco ayuda,ESTRES,sobrecarga_academica,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde hace dias siento inseguridad en el curso con mis compañeros,MIEDO,expresar_miedo,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
necesito decir que necesito ayuda urgente un poco que puedo hacer,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
ya no puedo concentrarme por el estres un poco porque me afecta bastante,ESTRES,sobrecarga_academica,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en la tarde siento que nadie me entiende,TRISTEZA,expresar_tristeza,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en el colegio siento que no puedo controlar mi preocupacion,ANSIEDAD,preocupacion_academica,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
en la tarde no se como organizar mis tareas mucho que puedo hacer,ESTRES,organizacion_estudio,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
quiero lastimarme cuando tengo que exponer,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
la verdad me molesta que se burlen de mi sin decirle a nadie,ENOJO,conflicto_companeros,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando llego a casa no se como organizar mis tareas cuando tengo tareas,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
la verdad siento mucha frustracion por eso busco ayuda,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente estoy llorando y no se que hacer,TRISTEZA,buscar_apoyo,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
necesito decir que donde puedo ver mi horario necesito orientacion,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
a veces puedes ayudarme con una duda en silencio,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
esta semana logre entregar mi tarea a tiempo bastante pero no se como explicarlo,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
siento que nadie me entiende con mi familia puedes ayudarme,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
por favor no quiero salir al recreo porque tengo miedo,MIEDO,buscar_seguridad,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
la verdad me siento motivado para estudiar cuando tengo tareas,FELICIDAD,compartir_logro,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
